ticket_id,customer_id,created_at,updated_at,category,subcategory,priority,status,subject,description,channel,agent,first_response_at,resolved_at,satisfaction_score
TKT-00001,CUST-6351,2025-03-25 07:31:00,2025-03-25 13:17:00,Product Issue,,Low,Open,Packaging was broken,The product stopped working after just two days of normal use.,Email,James Wilson,2025-03-25 12:20:00,,4.3
TKT-00002,CUST-4174,2025-06-14 12:12:00,2025-06-16 11:06:00,Technical Issue,,Medium,Resolved,Mobile app freeze,The mobile app freezes frequently and I have to force close it to continue.,Phone,Mike Chen,2025-06-14 15:39:00,2025-06-15 12:26:00,2.8
TKT-00003,CUST-5466,2025-02-11 17:10:00,2025-02-15 09:40:00,Technical Issue,,Medium,Resolved,App crashes on login,I've been experiencing slow loading times for the past week. Pages take over 30 seconds to load.,Email,Anna Martinez,2025-02-12 01:56:00,2025-02-14 16:37:00,2.8
TKT-00004,CUST-4729,2025-06-26 17:14:00,2025-06-27 06:11:00,Billing,,Medium,Resolved,Unexpected fee on my account,I see a $49.99 charge but my plan should be $29.99. Please explain this discrepancy.,Chat,Emily Rodriguez,2025-06-27 02:19:00,2025-06-26 19:37:00,3.3
TKT-00005,CUST-5435,2025-03-28 13:05:00,2025-04-01 03:11:00,Account Access,,Critical,Closed,Permission denied,I need to update my email address but the system won't let me verify the new one.,Email,Mike Chen,2025-03-28 14:34:00,2025-03-31 11:25:00,3.7
TKT-00006,CUST-8482,2025-03-18 04:32:00,2025-03-20 04:59:00,Account Access,,Medium,Open,Cannot change email,My account shows as suspended but I haven't violated any terms.,Chat,James Wilson,2025-03-18 12:32:00,,4.6
TKT-00007,CUST-8337,2025-03-16 05:28:00,2025-03-17 06:35:00,Shipping,,Medium,In Progress,International shipping delay,I need to return an item but haven't received a shipping label after requesting one.,Chat,Rachel Green,2025-03-16 11:55:00,,3.5
TKT-00008,CUST-8606,2025-06-05 14:18:00,2025-06-08 23:07:00,Product Issue,,Medium,In Progress,Missing manual/instructions,Missing several components that were listed in the product description.,Chat,James Wilson,2025-06-05 15:13:00,,4.4
TKT-00009,CUST-1525,2025-01-25 14:51:00,2025-01-26 08:59:00,Product Issue,,Low,In Progress,Missing items in order,I ordered size Large but received a Medium. The label on the product says Medium.,Phone,Mike Chen,2025-01-25 20:50:00,,4.5
TKT-00010,CUST-2646,2025-06-29 09:21:00,2025-07-02 22:03:00,Billing,,High,Open,Charge after cancellation,The promotional pricing I signed up for is not reflected in my latest bill.,Email,Sarah Johnson,2025-06-29 17:08:00,,2.9
TKT-00011,CUST-7678,2025-02-03 15:04:00,2025-02-06 08:59:00,Product Issue,,Medium,Resolved,Quality below expectations,The product stopped working after just two days of normal use.,Phone,Emily Rodriguez,2025-02-03 23:32:00,2025-02-05 17:55:00,3.6
TKT-00012,CUST-1123,2025-05-17 08:33:00,2025-05-19 05:48:00,Account Access,,Medium,Open,Profile not updating,I can't access my account even though I'm using the correct credentials.,Email,Tom Baker,2025-05-17 19:05:00,,3.6
